co2,year
2.121,1975
1.981,1976
2.384,1977
2.153,1978
2.233,1979
1.756,1980
1.978,1981
2.095,1982
2.52,1983
2.822,1984
3.501,1985
3.134,1986
3.114,1987
2.857,1988
2.765,1989
2.603,1990
2.427,1991
1.379,1992
1.333,1993
1.282,1994
1.23,1995
1.165,1996
1.084,1997
1.029,1998
0.81,1999
0.758,2000
0.798,2001
1.052,2002
1.186,2003
0.889,2004
1.303,2005
1.635,2006
2.269,2007
4.2,2008
6.74,2009
8.398,2010
12.106,2011
10.219,2012
8.441,2013
7.774,2014
7.904,2015
6.745,2016
6.86,2017
8.345,2018
12.147,2019
12.16,2020
387.839,1975
420.868,1976
433.857,1977
463.282,1978
500.009,1979
536.51,1980
549.389,1981
572.603,1982
595.441,1983
650.285,1984
666.684,1985
690.7,1986
690.794,1987
726.048,1988
699.221,1989
659.295,1990
689.026,1991
668.677,1992
708.858,1993
719.623,1994
771.994,1995
783.254,1996
812.903,1997
838.022,1998
830.397,1999
886.562,2000
884.168,2001
892.575,2002
967.22,2003
1036.686,2004
1057.342,2005
1090.195,2006
1132.293,2007
1181.391,2008
1191.035,2009
1218.023,2010
1258.709,2011
1253.144,2012
1260.316,2013
1363.5,2014
1322.735,2015
1356.719,2016
1384.372,2017
1385.645,2018
1408.479,2019
1326.044,2020
4.591,1975
4.946,1976
5.716,1977
6.489,1978
7.581,1979
5.166,1980
7.335,1981
7.302,1982
7.625,1983
7.819,1984
7.874,1985
8.05,1986
7.438,1987
7.321,1988
8.977,1989
5.445,1990
4.228,1991
2.495,1992
2.316,1993
1.913,1994
2.066,1995
1.993,1996
1.532,1997
1.744,1998
2.975,1999
3.004,2000
3.221,2001
3.748,2002
4.232,2003
4.104,2004
4.199,2005
3.844,2006
3.829,2007
4.272,2008
4.254,2009
4.448,2010
5.031,2011
4.668,2012
4.928,2013
5.621,2014
4.496,2015
4.492,2016
5.302,2017
4.734,2018
4.863,2019
4.535,2020
32.001,1975
39.131,1976
41.845,1977
62.455,1978
45.546,1979
66.416,1980
46.342,1981
39.173,1982
52.504,1983
70.947,1984
72.609,1985
76.08,1986
83.884,1987
83.708,1988
79.808,1989
76.738,1990
78.807,1991
79.883,1992
81.944,1993
86.147,1994
94.981,1995
96.786,1996
87.005,1997
106.621,1998
91.668,1999
82.221,2000
